StudyHours,PapersPracticed,PreviousMarks,SleepingHours,PerformanceIndex
5.0,2.0,69.0,8,5.0
2.0,8.0,46.0,4,20.0
7.0,5.0,56.0,7,46.0
6.0,5.0,42.0,8,28.0
7.0,6.0,53.0,4,4.0
9.0,7.0,63.0,4,59.0
6.0,7.0,96.0,9,87.0
7.0,8.0,46.0,7,37.0
7.0,4.0,79.0,9,73.0
4.0,4.0,80.0,7,66.0
2.0,4.0,49.0,4,30.0
9.0,0.0,66.0,4,6.0
6.0,2.0,56.0,6,45.0
8.0,6.0,85.0,4,78.0
3.0,4.0,86.0,6,63.0
6.0,6.0,74.0,6,59.0
6.0,8.0,49.0,8,38.0
9.0,4.0,8.0,4,76.0
6.0,2.0,94.0,9,84.0
7.0,9.0,96.0,6,92.0
9.0,5.0,54.0,6,52.0
6.0,5.0,68.0,5,57.0
7.0,2.0,70.0,4,60.0
2.0,9.0,55.0,8,35.0
2.0,7.0,6.0,6,42.0
9.0,2.0,54.0,6,53.0
2.0,2.0,59.0,4,36.0
9.0,5.0,66.0,8,64.0
9.0,7.0,52.0,7,45.0
7.0,8.0,83.0,9,76.0
6.0,6.0,89.0,7,79.0
2.0,4.0,97.0,9,74.0
7.0,7.0,77.0,4,69.0
5.0,6.0,83.0,8,72.0
9.0,3.0,68.0,5,64.0
7.0,0.0,84.0,5,73.0
6.0,3.0,80.0,8,68.0
8.0,9.0,80.0,7,73.0
5.0,8.0,57.0,5,39.0
3.0,4.0,77.0,8,57.0
3.0,9.0,9.0,7,74.0
8.0,8.0,89.0,5,88.0
9.0,7.0,77.0,5,70.0
8.0,6.0,95.0,6,89.0
9.0,3.0,77.0,7,74.0
8.0,3.0,93.0,8,86.0
4.0,0.0,9.0,8,74.0
6.0,6.0,7.0,8,62.0
7.0,5.0,47.0,5,39.0
4.0,5.0,52.0,9,35.0
2.0,3.0,4.0,4,7.0
9.0,7.0,83.0,8,83.0
5.0,7.0,98.0,6,80.0
9.0,7.0,40.0,5,36.0
4.0,3.0,55.0,6,38.0
5.0,5.0,85.0,8,70.0
7.0,0.0,72.0,4,6.0
8.0,3.0,97.0,7,93.0
8.0,8.0,92.0,9,88.0
9.0,9.0,93.0,7,95.0
2.0,3.0,93.0,8,68.0
5.0,2.0,53.0,9,40.0
3.0,8.0,86.0,4,66.0
2.0,5.0,65.0,9,42.0
3.0,9.0,64.0,9,47.0
9.0,4.0,78.0,7,76.0
9.0,7.0,67.0,6,64.0
8.0,4.0,56.0,7,52.0
2.0,2.0,82.0,9,58.0
8.0,5.0,43.0,4,35.0
4.0,3.0,46.0,7,26.0
9.0,9.0,83.0,8,8.0
8.0,5.0,7.0,9,69.0
3.0,4.0,43.0,8,23.0
5.0,9.0,46.0,5,33.0
9.0,2.0,79.0,6,78.0
9.0,9.0,98.0,6,95.0
3.0,3.0,84.0,5,67.0
8.0,0.0,95.0,5,89.0
7.0,3.0,96.0,5,82.0
9.0,6.0,62.0,9,65.0
6.0,4.0,92.0,9,86.0
7.0,6.0,45.0,6,38.0
5.0,6.0,70.0,4,55.0
9.0,4.0,75.0,8,73.0
8.0,5.0,84.0,9,80.0
6.0,2.0,87.0,5,72.0
2.0,2.0,6.0,9,40.0
2.0,5.0,72.0,6,5.0
3.0,5.0,43.0,6,2.0
3.0,2.0,57.0,7,39.0
2.0,2.0,5.0,4,22.0
3.0,7.0,46.0,8,26.0
2.0,8.0,74.0,6,49.0
3.0,4.0,45.0,7,24.0
2.0,0.0,48.0,5,23.0
4.0,2.0,56.0,6,39.0
8.0,0.0,83.0,6,79.0
8.0,7.0,92.0,7,85.0
5.0,8.0,64.0,5,49.0
6.0,4.0,72.0,6,59.0
3.0,8.0,73.0,6,53.0
4.0,0.0,9.0,8,73.0
3.0,5.0,82.0,9,67.0
8.0,7.0,59.0,4,52.0
7.0,6.0,75.0,8,66.0
5.0,7.0,8.0,5,67.0
7.0,5.0,98.0,7,88.0
9.0,4.0,42.0,4,36.0
5.0,5.0,55.0,4,39.0
6.0,9.0,55.0,4,43.0
7.0,0.0,5.0,4,43.0
9.0,2.0,62.0,7,63.0
3.0,7.0,58.0,8,37.0
3.0,7.0,49.0,8,29.0
7.0,3.0,53.0,5,40.0
9.0,0.0,49.0,5,46.0
8.0,2.0,82.0,6,79.0
8.0,2.0,52.0,5,45.0
2.0,8.0,42.0,8,20.0
3.0,3.0,54.0,4,35.0
3.0,6.0,40.0,4,9.0
5.0,3.0,90.0,4,74.0
3.0,5.0,54.0,4,30.0
2.0,3.0,92.0,4,67.0
6.0,9.0,4.0,5,34.0
8.0,8.0,47.0,8,42.0
4.0,3.0,9.0,4,7.0
2.0,0.0,77.0,5,53.0
5.0,7.0,69.0,9,57.0
2.0,9.0,70.0,7,49.0
5.0,3.0,66.0,5,52.0
6.0,5.0,7.0,5,60.0
8.0,8.0,88.0,5,85.0
6.0,0.0,49.0,6,39.0
7.0,8.0,52.0,5,43.0
4.0,6.0,73.0,7,57.0
4.0,7.0,59.0,4,38.0
7.0,2.0,52.0,5,43.0
6.0,7.0,68.0,9,57.0
3.0,7.0,54.0,7,29.0
2.0,0.0,79.0,9,58.0
2.0,8.0,70.0,7,54.0
5.0,8.0,9.0,4,75.0
4.0,7.0,65.0,4,48.0
6.0,2.0,76.0,8,64.0
4.0,6.0,83.0,4,64.0
4.0,5.0,98.0,7,78.0
6.0,4.0,83.0,7,73.0
9.0,9.0,93.0,7,93.0
4.0,0.0,4.0,5,2.0
4.0,9.0,98.0,4,8.0
6.0,4.0,48.0,5,35.0
9.0,9.0,65.0,9,68.0
6.0,8.0,86.0,4,75.0
9.0,4.0,46.0,8,46.0
9.0,5.0,95.0,5,88.0
5.0,8.0,52.0,9,38.0
4.0,9.0,47.0,9,28.0
6.0,5.0,85.0,6,72.0
8.0,5.0,4.0,8,37.0
7.0,8.0,99.0,4,89.0
6.0,3.0,70.0,7,57.0
3.0,0.0,49.0,6,26.0
2.0,0.0,55.0,7,30.0
3.0,8.0,4.0,8,20.0
3.0,4.0,92.0,4,70.0
2.0,0.0,45.0,4,20.0
8.0,3.0,53.0,4,43.0
7.0,9.0,54.0,8,47.0
9.0,6.0,8.0,7,78.0
3.0,5.0,45.0,9,26.0
3.0,5.0,42.0,9,25.0
6.0,6.0,59.0,6,47.0
9.0,9.0,45.0,4,4.0
3.0,0.0,79.0,6,59.0
8.0,4.0,76.0,9,72.0
4.0,4.0,99.0,4,82.0
3.0,2.0,83.0,4,63.0
2.0,2.0,59.0,6,35.0
7.0,8.0,90.0,6,82.0
4.0,4.0,83.0,8,65.0
5.0,0.0,8.0,4,63.0
3.0,7.0,40.0,4,7.0
6.0,9.0,74.0,6,62.0
4.0,8.0,53.0,9,40.0
7.0,0.0,73.0,4,6.0
3.0,7.0,69.0,4,45.0
9.0,6.0,74.0,9,74.0
7.0,5.0,78.0,8,70.0
6.0,7.0,70.0,4,57.0
5.0,8.0,58.0,8,46.0
3.0,4.0,97.0,6,75.0
7.0,7.0,67.0,8,60.0
9.0,0.0,73.0,5,67.0
3.0,9.0,97.0,4,74.0
