Temperature_Deviation,Machine_Efficiency
-20.0,-29.25
-19.866,-28.61
-19.732,-25.84
-19.599,-22.95
-19.465,-24.02
-19.331,-22.46
-19.197,-18.19
-19.064,-17.87
-18.93,-18.21
-18.796,-15.17
-18.662,-15.18
-18.528,-13.69
-18.395,-11.15
-18.261,-12.91
-18.127,-11.16
-17.993,-7.97
-17.86,-7.21
-17.726,-3.79
-17.592,-4.21
-17.458,-3.56
-17.324,2.16
-17.191,1.01
-17.057,2.82
-16.923,1.95
-16.789,4.62
-16.656,6.94
-16.522,6.38
-16.388,9.99
-16.254,9.84
-16.12,11.6
-15.987,12.43
-15.853,17.38
-15.719,15.85
-15.585,15.54
-15.452,19.61
-15.318,17.78
-15.184,21.15
-15.05,19.11
-14.916,21.26
-14.783,24.74
-14.649,26.73
-14.515,27.05
-14.381,27.78
-14.247,28.65
-14.114,28.02
-13.98,30.29
-13.846,31.79
-13.712,35.18
-13.579,35.2
-13.445,33.13
-13.311,37.33
-13.177,37.33
-13.043,37.94
-12.91,40.92
-12.776,42.58
-12.642,43.45
-12.508,41.8
-12.375,43.6
-12.241,45.55
-12.107,47.49
-11.973,46.27
-11.839,47.67
-11.706,47.23
-11.572,48.03
-11.438,51.97
-11.304,53.7
-11.171,52.46
-11.037,54.96
-10.903,54.88
-10.769,54.24
-10.635,56.61
-10.502,59.22
-10.368,57.7
-10.234,60.93
-10.1,55.47
-9.967,61.43
-9.833,61.13
-9.699,61.33
-9.565,62.69
-9.431,60.33
-9.298,63.74
-9.164,65.34
-9.03,67.75
-8.896,65.48
-8.763,65.75
-8.629,66.91
-8.495,69.72
-8.361,69.52
-8.227,68.9
-8.094,71.12
-7.96,71.14
-7.826,73.08
-7.692,71.2
-7.559,72.37
-7.425,72.87
-7.291,71.86
-7.157,75.08
-7.023,75.59
-6.89,75.77
-6.756,75.96
-6.622,74.72
-6.488,76.74
-6.355,77.37
-6.221,77.19
-6.087,78.64
-5.953,79.97
-5.819,82.67
-5.686,80.56
-5.552,81.14
-5.418,81.08
-5.284,78.74
-5.151,82.0
-5.017,82.54
-4.883,86.54
-4.749,82.95
-4.615,84.06
-4.482,83.92
-4.348,82.58
-4.214,86.39
-4.08,86.13
-3.946,86.51
-3.813,84.27
-3.679,88.04
-3.545,84.13
-3.411,87.39
-3.278,90.06
-3.144,85.55
-3.01,86.43
-2.876,87.67
-2.742,86.99
-2.609,85.63
-2.475,88.27
-2.341,86.76
-2.207,89.25
-2.074,87.33
-1.94,91.2
-1.806,87.85
-1.672,88.68
-1.538,90.51
-1.405,87.56
-1.271,89.86
-1.137,91.57
-1.003,87.29
-0.87,90.05
-0.736,90.23
-0.602,91.06
-0.468,88.08
-0.334,87.99
-0.201,90.77
-0.067,90.44
0.067,90.37
0.201,90.51
0.334,88.95
0.468,90.28
0.602,90.33
0.736,88.77
0.87,92.57
1.003,90.41
1.137,87.83
1.271,90.5
1.405,87.95
1.538,90.47
1.672,90.9
1.806,87.79
1.94,90.32
2.074,89.33
2.207,89.77
2.341,91.2
2.475,87.79
2.609,86.83
2.742,86.41
2.876,86.29
3.01,87.17
3.144,87.55
3.278,87.19
3.411,87.75
3.545,86.25
3.679,88.12
3.813,85.24
3.946,89.41
4.08,85.94
4.214,83.39
4.348,82.72
4.482,84.7
4.615,83.27
4.749,84.3
4.883,83.56
5.017,82.34
5.151,80.77
5.284,79.35
5.418,80.52
5.552,82.04
5.686,80.62
5.819,77.97
5.953,79.63
6.087,79.46
6.221,77.06
6.355,78.12
6.488,77.46
6.622,75.13
6.756,76.84
6.89,76.6
7.023,76.83
7.157,76.21
7.291,71.99
7.425,72.06
7.559,73.63
7.692,73.02
7.826,72.4
7.96,76.77
8.094,71.2
8.227,71.4
8.361,70.46
8.495,69.33
8.629,67.19
8.763,68.1
8.896,65.1
9.03,65.18
9.164,64.08
9.298,64.19
9.431,66.79
9.565,59.75
9.699,62.81
9.833,58.58
9.967,59.49
10.1,61.03
10.234,58.68
10.368,56.14
10.502,55.84
10.635,57.09
10.769,54.11
10.903,54.66
11.037,53.53
11.171,51.59
11.304,54.88
11.438,51.7
11.572,46.79
11.706,49.17
11.839,46.96
11.973,48.27
12.107,44.84
12.241,44.88
12.375,44.82
12.508,44.36
12.642,40.25
12.776,40.53
12.91,39.29
13.043,37.98
13.177,40.56
13.311,37.45
13.445,33.88
13.579,36.06
13.712,36.77
13.846,34.03
13.98,29.09
14.114,29.51
14.247,31.0
14.381,26.89
14.515,27.46
14.649,26.79
14.783,23.05
14.916,23.16
15.05,17.19
15.184,19.3
15.318,19.23
15.452,16.5
15.585,19.58
15.719,13.73
15.853,13.95
15.987,13.52
16.12,14.2
16.254,8.59
16.388,11.18
16.522,8.12
16.656,5.31
16.789,6.13
16.923,4.38
17.057,1.82
17.191,1.45
17.324,-0.62
17.458,-1.27
17.592,-1.85
17.726,-1.88
17.86,-7.55
17.993,-3.93
18.127,-11.51
18.261,-10.27
18.395,-10.63
18.528,-12.57
18.662,-15.42
18.796,-16.3
18.93,-18.24
19.064,-19.91
19.197,-19.29
19.331,-21.57
19.465,-24.7
19.599,-23.88
19.732,-26.35
19.866,-27.18
20.0,-29.06
